Название,Характеристики,Цена,Страрая цена
"Смартфон DIGMA Linx Joy 3G, черный "," Код: 1064087; ОС Android 8.1, экран: 5"", TN, 854×480, процессор: MT6580M, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 4Гб ", 2990 руб.,-
"Смартфон DIGMA Linx Joy 3G, темно-серый "," Код: 1064090; ОС Android 8.1, экран: 5"", TN, 854×480, процессор: Spreadtrum MT6580M, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 4Гб ", 2990 руб.,-
"Смартфон VERTEX Impress Funk 8Gb, графит "," Код: 1130186; ОС Android 8.1, экран: 3.97"", TN, 800×480, процессор: MediaTek MTK6580M, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 19ч, в режиме ожидания, до: 290ч, оперативная память: 512Мб, встроенная память: 8Гб ", 2990 руб.,-
"Смартфон VERTEX Impress Funk 8Gb, синий "," Код: 1130467; ОС Android 8.1, экран: 3.97"", TN, 800×480, процессор: MediaTek MTK6580M, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 19ч, в режиме ожидания, до: 290ч, оперативная память: 512Мб, встроенная память: 8Гб ", 2990 руб.,-
"Смартфон VERTEX Impress Funk 8Gb, черный "," Код: 1130484; ОС Android 8.1, экран: 3.97"", TN, 800×480, процессор: MediaTek MTK6580M, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 19ч, в режиме ожидания, до: 290ч, оперативная память: 512Мб, встроенная память: 8Гб ", 2990 руб.,-
Смартфон ARK Wizard 2 золотистый ," Код: 1110628; ОС Android 8.1, экран: 5"", IPS, 960×480, процессор: MediaTek MTK6580, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 5ч, в режиме ожидания, до: 10ч, оперативная память: 1Гб, встроенная память: 8Гб ", 2990 руб.,-
Смартфон ARK Wizard 2 черный ," Код: 1110483; ОС Android 8.1, экран: 5"", IPS, 960×480, процессор: MediaTek MTK6580, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 5ч, в режиме ожидания, до: 10ч, оперативная память: 1Гб, встроенная память: 8Гб ", 2990 руб.,-
"Смартфон BQ Strike Mini 4072, золотистый "," Код: 1105446; ОС Android 7.0, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731c, 1200МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 2990 руб.,-
Смартфон ARK Benefit S505 черный ," Код: 1059083; ОС Android 7.0, экран: 5"", TN, 854×480, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 5Мп, GPS, время работы в режиме разговора, до: 4ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3100 руб.,-
Смартфон FLY Life Compact синий ," Код: 1103480; ОС Android 7.0, экран: 4.95"", TN, 960×480, процессор: SC7731C, 1200МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 7ч, в режиме ожидания, до: 120ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3150 руб., 3770 руб.
Смартфон MICROMAX Q357 серый ," Код: 1053257; ОС Android 7.0, экран: 5"", IPS, 854×480, процессор: Spreadtrum SC7731c, 1200МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 24ч, в режиме ожидания, до: 254ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3190 руб.,-
"Смартфон DIGMA Argo 3G 8Gb, LINX, черный "," Код: 1074989; ОС Android Go, экран: 4.5"", TN, 854×480, процессор: MT6580A, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 8Гб ", 3290 руб.,-
"Смартфон DIGMA Argo 3G 8Gb, LINX, синий "," Код: 1074990; ОС Android Go, экран: 4.5"", TN, 854×480, процессор: MT6580A, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 8Гб ", 3290 руб.,-
"Смартфон DIGMA Argo 3G 8Gb, LINX, золотистый "," Код: 1074991; ОС Android Go, экран: 4.5"", TN, 854×480, процессор: MT6580A, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 8Гб ", 3290 руб.,-
Смартфон ARK Zoji S12 черный ," Код: 1066264; ОС Android 6.0, экран: 5"", IPS, 960×480, процессор: MediaTek MTK6580, 1300МГц, 4-х ядерный, камера: 8Мп, GPS, время работы в режиме разговора, до: 5ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3290 руб.,-
Смартфон ARK Zoji S12 синий ," Код: 1066268; ОС Android 6.0, экран: 5"", IPS, 960×480, процессор: MediaTek MTK6580, 1300МГц, 4-х ядерный, камера: 8Мп, GPS, время работы в режиме разговора, до: 5ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3290 руб.,-
Смартфон ARK Zoji S12 красный ," Код: 1066269; ОС Android 6.0, экран: 5"", IPS, 960×480, процессор: MediaTek MTK6580, 1300МГц, 4-х ядерный, камера: 8Мп, GPS, время работы в режиме разговора, до: 5ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3290 руб.,-
"Смартфон DIGMA HIT Q500 3G, красный "," Код: 486244; ОС Android 7.0, экран: 5"", TN, 854×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 3390 руб.,-
"Смартфон BQ Fox Easy 4501, черный "," Код: 1105448; ОС Android 8.1, экран: 4.5"", TN, 854×480, процессор: MediaTek MT6580М, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 512Мб, встроенная память: 8Гб ", 3390 руб.,-
"Смартфон BQ Fox Easy 4501, золотистый "," Код: 1105450; ОС Android 8.1, экран: 4.5"", TN, 854×480, процессор: MediaTek MT6580М, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 512Мб, встроенная память: 8Гб ", 3390 руб.,-
Смартфон VERTEX Impress черный ," Код: 1099297; ОС Android 7.0, экран: 5"", TN, 854×484, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, время работы в режиме разговора, до: 7ч, в режиме ожидания, до: 240ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3490 руб.,-
"Смартфон DIGMA Linx X1 3G, черный "," Код: 1064814; ОС Android 8.1, экран: 5"", IPS, 1280×720, процессор: MT6580, 1300МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 16Гб ", 3490 руб., 4990 руб.
"Смартфон DIGMA Linx X1 3G, темно-серый "," Код: 1064816; ОС Android 8.1, экран: 5"", IPS, 1280×720, процессор: MT6580, 1300МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 16Гб ", 3490 руб., 4990 руб.
"Смартфон DIGMA Linx X1 3G, темно-синий "," Код: 1064817; ОС Android 8.1, экран: 5"", IPS, 1280×720, процессор: MT6580, 1300МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 16Гб ", 3490 руб., 4990 руб.
"Смартфон DIGMA HIT Q500 3G, золотистый "," Код: 1014645; ОС Android 7.0, экран: 5"", TN, 854×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 3490 руб., 4290 руб.
"Смартфон DIGMA HIT Q500 3G, серый "," Код: 486242; ОС Android 7.0, экран: 5"", TN, 854×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 3490 руб.,-
"Смартфон VERTEX Impress Luck 8Gb, золотистый "," Код: 1107885; ОС Android 7.0, экран: 5"", IPS, 854×480, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 6ч, в режиме ожидания, до: 160ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3490 руб.,-
"Смартфон VERTEX Impress Luck 8Gb, черный "," Код: 1107892; ОС Android 7.0, экран: 5"", IPS, 854×480, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 6ч, в режиме ожидания, до: 160ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3490 руб.,-
"Смартфон GINZZU S5002, черный "," Код: 1130621; ОС Android 7.0, экран: 5"", IPS, 1280×720, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, время работы в режиме разговора, до: 10ч, в режиме ожидания, до: 50ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3490 руб.,-
"Смартфон GINZZU S5021 8Gb, черный "," Код: 1069753; ОС Android 7.0, экран: 5"", IPS, 1280×720, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 8Мп, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 3500 руб.,-
"Смартфон ZTE Blade L8 16Gb, черный "," Код: 1141529; ОС Android 9, экран: 5"", 960×480, процессор: Spreadtrum SC7731E, 1300МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 1Гб, встроенная память: 16Гб ", 3690 руб.,-
"Смартфон DIGMA HIT Q500 3G, черный "," Код: 486237; ОС Android 7.0, экран: 5"", TN, 854×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 3790 руб., 4290 руб.
Смартфон VERTEX Impress голубой ," Код: 1099597; ОС Android 7.0, экран: 5"", TN, 854×484, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, время работы в режиме разговора, до: 7ч, в режиме ожидания, до: 240ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3790 руб.,-
Смартфон VERTEX Impress золотистый ," Код: 1099606; ОС Android 7.0, экран: 5"", TN, 854×484, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, время работы в режиме разговора, до: 7ч, в режиме ожидания, до: 240ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3790 руб.,-
"Смартфон BQ Fun 5002G, золотистый "," Код: 1105470; ОС Android 8.1, экран: 5"", TN, 854×480, процессор: Spreadtrum SC7731E, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 8Гб ", 3790 руб.,-
"Смартфон BQ Velvet Easy 5000G, черный "," Код: 1105452; ОС Android 8.1, экран: 5"", TN, 854×480, процессор: MediaTek MT6580М, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 8Гб ", 3790 руб.,-
"Смартфон BQ Velvet Easy 5000G, золотистый "," Код: 1105453; ОС Android 8.1, экран: 5"", TN, 854×480, процессор: MediaTek MT6580М, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 8Гб ", 3790 руб.,-
