Название,Характеристики,Цена,Страрая цена
"Смартфон SAMSUNG Galaxy S10+ 128Gb, SM-G975F, черный "," Код: 1124187; ОС Android 9, экран: 6.4"", AMOLED, 2960×1440, процессор: Exynos 9820, , 8-ми ядерный, камера: 16Мп, GPS, ГЛОНАСС, с защитой от пыли и влаги, оперативная память: 8Гб, встроенная память: 128Гб ", 76 990 руб.,-
"Смартфон VERTEX Impress Play 32Gb, черный "," Код: 1107938; ОС Android 7.0, экран: 5.5"", IPS, 1920×1080, процессор: MediaTek MTK6753, 1300МГц, 8-ми ядерный, камера: 16Мп, FM-радио, GPS, время работы в режиме разговора, до: 11ч, в режиме ожидания, до: 200ч, оперативная память: 3Гб, встроенная память: 32Гб ", 7490 руб.,-
"Смартфон DIGMA Linx X1 3G, черный "," Код: 1064814; ОС Android 8.1, экран: 5"", IPS, 1280×720, процессор: MT6580, 1300МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 16Гб ", 3490 руб., 4990 руб.
"Смартфон SAMSUNG Galaxy A8 (2018) 32Gb, SM-A530F, золотистый "," Код: 1026799; ОС Android 7.1, экран: 5.6"", Super AMOLED, 2220×1080, процессор: 2200МГц, 8-ми ядерный, камера: 16Мп, GPS, ГЛОНАСС, с защитой от пыли и влаги, время работы в режиме разговора, до: 19ч, оперативная память: 4Гб, встроенная память: 32Гб ", 21 990 руб.,-
"Смартфон XIAOMI Mi A2 64Gb, золотистый "," Код: 1084342; ОС Android 8.1, экран: 5.99"", IPS, 2160×1080, процессор: Qualcomm Snapdragon 660, 2200МГц, 8-ми ядерный, камера: 20Мп, GPS, ГЛОНАСС, оперативная память: 4Гб, встроенная память: 64Гб ", 16 990 руб.,-
"Смартфон ASUS ZenFone Max Pro M1 128Gb, ZB602KL, черный "," Код: 1077971; ОС Android 8.1, экран: 6"", IPS, 2160×1080, процессор: Qualcomm Snapdragon 636, , 8-ми ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 42ч, в режиме ожидания, до: 840ч, оперативная память: 4Гб, встроенная память:... ", 15 990 руб.,-
"Смартфон ASUS Zenfone Live L1 32Gb, G553KL, черный "," Код: 1110343; ОС Android 8.1, экран: 5.5"", IPS, 1440×720, процессор: Qualcomm Snapdragon 430, , 8-ми ядерный, камера: 13Мп, GPS, ГЛОНАСС, время работы в режиме разговора, до: 28ч, в режиме ожидания, до: 672ч, оперативная память: 2Гб, встроенная память: 32Гб ", 8990 руб.,-
"Смартфон DIGMA Linx X1 Pro 3G, черный "," Код: 1064824; ОС Android 8.1, экран: 5"", IPS, 1280×720, процессор: MT6580, 1300МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, оперативная память: 2Гб, встроенная память: 16Гб ", 3990 руб., 5690 руб.
"Смартфон XIAOMI Redmi 6A 32Gb, золотистый "," Код: 1090379; ОС Android 8.1, экран: 5.45"", IPS, 1440×720, процессор: Mediatek Helio A22, 2000МГц, 4-х ядерный, камера: 13Мп, GPS, ГЛОНАСС, оперативная память: 2Гб, встроенная память: 32Гб ", 8490 руб.,-
"Смартфон HONOR 7С 32Gb, черный "," Код: 1075501; ОС Android 8.0, экран: 5.7"", 1440×720, процессор: Qualcomm MSM8937, 1400МГц, 8-ми ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 32Гб ", 10 990 руб.,-
"Смартфон HONOR 9 Lite 32Gb, серый "," Код: 1032070; ОС Android 8.0, экран: 5.65"", LCD, 2160×1080, процессор: Kirin 659, 2360МГц, 8-ми ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 32Гб ", 12 990 руб.,-
"Смартфон SAMSUNG Galaxy A6+ (2018) 32Gb, SM-A605F, золотистый "," Код: 1060112; ОС Android 8.0, экран: 6"", Super AMOLED, 2220×1080, процессор: 1800МГц, 8-ми ядерный, камера: 16Мп, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 32Гб ", 14 990 руб.,-
"Смартфон HONOR 10 64Gb, синий "," Код: 1062785; ОС Android 8.1, экран: 5.84"", LTPS, 2280×1080, процессор: Kirin 970, 2360МГц, 8-ми ядерный, камера: 24Мп, GPS, ГЛОНАСС, оперативная память: 4Гб, встроенная память: 64Гб ", 24 990 руб.,-
"Смартфон SAMSUNG Galaxy S10e 128Gb, SM-G970F, черный "," Код: 1124181; ОС Android 9, экран: 5.8"", AMOLED, 2960×1440, процессор: Exynos 9820, , 8-ми ядерный, камера: 16Мп, GPS, ГЛОНАСС, с защитой от пыли и влаги, оперативная память: 6Гб, встроенная память: 128Гб ", 56 990 руб.,-
"Смартфон HONOR 10i 128Gb, синий "," Код: 1134243; ОС Android 9, экран: 6.21"", 2340×1080, процессор: Kirin 710F, 2200МГц, 8-ми ядерный, камера: 24Мп, FM-радио, GPS, ГЛОНАСС, чехол в комплекте, оперативная память: 4Гб, встроенная память: 128Гб ", 19 990 руб.,-
"Смартфон HUAWEI Nova 3i 64Gb, черный "," Код: 1107217; ОС Android 8.1, экран: 6.3"", IPS, 2340×1080, процессор: Kirin 710, 2200МГц, 8-ми ядерный, камера: 16Мп, FM-радио, GPS, ГЛОНАСС, с защитой от пыли и влаги, оперативная память: 4Гб, встроенная память: 64Гб ", 16 690 руб., 17 990 руб.
"Смартфон HONOR 10 Lite 64Gb, синий "," Код: 1121277; ОС Android 9, экран: 6.21"", LTPS, 2340×1080, процессор: Kirin 710, 2200МГц, 8-ми ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 64Гб ", 16 990 руб.,-
"Смартфон SAMSUNG Galaxy A6+ (2018) 32Gb, SM-A605F, синий "," Код: 1060111; ОС Android 8.0, экран: 6"", Super AMOLED, 2220×1080, процессор: 1800МГц, 8-ми ядерный, камера: 16Мп, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 32Гб ", 14 990 руб.,-
"Смартфон XIAOMI Pocophone F1 64Gb, черный "," Код: 1096326; ОС Android 8.1, экран: 6.18"", IPS, 2246×1080, процессор: Qualcomm Snapdragon 845, 2800МГц, 8-ми ядерный, камера: 12Мп, FM-радио, GPS, ГЛОНАСС, чехол в комплекте, оперативная память: 6Гб, встроенная память: 64Гб ", 21 990 руб.,-
"Смартфон DIGMA Linx Joy 3G, черный "," Код: 1064087; ОС Android 8.1, экран: 5"", TN, 854×480, процессор: MT6580M, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 4Гб ", 2990 руб.,-
"Смартфон XIAOMI Mi 8 Lite 64Gb, синий "," Код: 1107805; ОС Android 8.1, экран: 6.26"", IPS, 2280×1080, процессор: Qualcomm Snapdragon 660, 2200МГц, 8-ми ядерный, камера: 12Мп, GPS, ГЛОНАСС, чехол в комплекте, оперативная память: 4Гб, встроенная память: 64Гб ", 17 990 руб.,-
"Смартфон SAMSUNG Galaxy A50 128Gb, SM-A505F, синий "," Код: 1131463; ОС Android 9, экран: 6.4"", Super AMOLED, 2220×1080, процессор: Exynos 9610, 2300МГц, 8-ми ядерный, камера: 25Мп, GPS, ГЛОНАСС, оперативная память: 6Гб, встроенная память: 128Гб ", 24 990 руб.,-
"Смартфон XIAOMI Pocophone F1 128Gb, синий "," Код: 1096337; ОС Android 8.1, экран: 6.18"", IPS, 2246×1080, процессор: Qualcomm Snapdragon 845, 2800МГц, 8-ми ядерный, камера: 12Мп, FM-радио, GPS, ГЛОНАСС, чехол в комплекте, оперативная память: 6Гб, встроенная память: 128Гб ", 23 990 руб.,-
"Смартфон DIGMA Linx X1 3G, темно-синий "," Код: 1064817; ОС Android 8.1, экран: 5"", IPS, 1280×720, процессор: MT6580, 1300МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 16Гб ", 3490 руб., 4990 руб.
"Смартфон NUBIA N2 64Gb, черный/золотистый "," Код: 1048362; ОС Android 7.0, экран: 5.5"", AMOLED, 1280×720, процессор: MediaTek МТ6750, 1500МГц, 8-ми ядерный, камера: 13Мп, GPS, ГЛОНАСС, оперативная память: 4Гб, встроенная память: 64Гб ", 9990 руб.,-
"Смартфон LEECO Le 2 X527, серый "," Код: 1086859; ОС Android 6.0, экран: 5.5"", IPS, 1920×1080, процессор: Qualcomm Snapdragon 652, 1800МГц, 8-ми ядерный, камера: 16Мп, FM-радио, GPS, ГЛОНАСС, чехол в комплекте, оперативная память: 3Гб, встроенная память: 64Гб ", 8490 руб.,-
"Смартфон HONOR 10i 128Gb, красный "," Код: 1135231; ОС Android 9, экран: 6.21"", 2340×1080, процессор: Kirin 710F, 2200МГц, 8-ми ядерный, камера: 24Мп, FM-радио, GPS, ГЛОНАСС, чехол в комплекте, оперативная память: 4Гб, встроенная память: 128Гб ", 19 990 руб.,-
"Смартфон SAMSUNG Galaxy J6+ (2018) 32Gb, SM-J610F, черный "," Код: 1089319; ОС Android 8.1, экран: 6"", TFT, 1480×720, процессор: 1400МГц, 4-х ядерный, камера: 13Мп, GPS, ГЛОНАСС, время работы в режиме разговора, до: 23ч, оперативная память: 3Гб, встроенная память: 32Гб ", 11 990 руб.,-
"Смартфон SAMSUNG Galaxy S10+ 128Gb, SM-G975F, белый/перламутр "," Код: 1124189; ОС Android 9, экран: 6.4"", AMOLED, 2960×1440, процессор: Exynos 9820, , 8-ми ядерный, камера: 16Мп, GPS, ГЛОНАСС, с защитой от пыли и влаги, оперативная память: 8Гб, встроенная память: 128Гб ", 76 990 руб.,-
